name,category,lat,lon,address,city,phone,website,source,opportunity_score
Five15,cafe,42.4853808,-83.1467885,600 South Washington Avenue,Royal Oak,,,OSM,40
Europa Cafe,cafe,42.3351162,-83.0418087,,Windsor,,,OSM,40
Biggby Coffee,cafe,42.3038986,-83.2517728,,Windsor,,,OSM,40
Cigaro,cafe,42.3058772,-83.2447334,,Windsor,,,OSM,40
Tim Hortons,cafe,42.2979361,-82.9910053,,Windsor,,,OSM,40
The Proving Grounds,cafe,42.4866815,-83.1463539,417 South Washington Avenue,Royal Oak,,,OSM,40
Cacao Tree Cafe,cafe,42.4873369,-83.1457136,204 West 4th Street,Royal Oak,,,OSM,40
The Coffee Exchange,cafe,42.3178728,-83.0390675,,Windsor,,,OSM,40
The Bottom Line Coffee House,cafe,42.3514195,-83.0691403,4474 3rd Street,Detroit,,,OSM,40
The Red Hook Detroit,cafe,42.3551662,-82.9971851,,Windsor,,,OSM,40
Always Brewing Detroit,cafe,42.4057657,-83.2301329,19180 Grand River Avenue,Detroit,,,OSM,40
The Red Hook - Midtown,cafe,42.3503889,-83.0601644,3965 Woodward Avenue,Detroit,,,OSM,40
the Broadway,cafe,42.3343951,-83.0453671,,Windsor,,,OSM,40
Dessert Oasis Coffee Roasters,cafe,42.3329874,-83.0489956,1220 Griswold Street,Detroit,,,OSM,40
illy,cafe,42.3289907,-83.0397978,400 Renaissance Drive West,Detroit,,,OSM,40
Bella's Coffee House,cafe,42.3202048,-83.1062029,,Windsor,,,OSM,40
Milano Bakery & Cafe,cafe,42.3523174,-83.0441586,3500 Russell Street,Detroit,,,OSM,40
Roasting Plant,cafe,42.3312547,-83.0460042,660 Woodward Avenue,Detroit,,,OSM,40
Boostan Cafe,cafe,42.3964096,-83.0487125,3470 Holbrook Street,Windsor,,,OSM,40
Oloman Cafe,cafe,42.3986268,-83.0593487,,Windsor,,,OSM,40
Cafe Muse,cafe,42.4867154,-83.1468034,418 South Washington Avenue,Windsor,,,OSM,40
Java Hutt,cafe,42.4604689,-83.1358226,165 West 9 Mile Road,Ferndale,,,OSM,40
Biggby Coffee,cafe,42.4607574,-83.1436948,750 West 9 Mile Road,Ferndale,,,OSM,40
Detroit Fleet Food Truck Park,cafe,42.4609102,-83.1128363,1820 East 9 Mile Road,Windsor,,,OSM,40
Stella Good Coffee,cafe,42.369806,-83.0770787,,Windsor,,,OSM,40
Lape Soul Food,cafe,42.4351646,-82.9643075,15236 East 7 Mile Road,Detroit,,,OSM,40
Motor City Java House,cafe,42.4169027,-83.257514,17336 Lahser Road,Detroit,,,OSM,40
Hot Taco,cafe,42.3378896,-83.0538867,2233 Park Avenue,Windsor,,,OSM,40
Qahwah House,cafe,42.340017,-83.1768624,6655 Schaefer Road,Windsor,,,OSM,40
Cork & Grind,cafe,42.3273709,-83.0486548,Detroit,Detroit,,,OSM,40
Dessert Oasis Coffee Roasters,cafe,42.4893927,-83.1440683,,Windsor,,,OSM,40
Bean & Leaf Cafe,cafe,42.4895489,-83.1444863,106 South Main Street,Royal Oak,,,OSM,40
Fattoush,cafe,42.2881118,-83.057082,,Windsor,,,OSM,40
Presotea,cafe,42.2554548,-82.9631513,,Windsor,,,OSM,40
Starbucks,cafe,42.3118847,-82.9462462,,Windsor,,,OSM,40
Anthology Coffee,cafe,42.3489591,-83.036009,1948 Division Street,Detroit,,,OSM,40
Starbucks,cafe,42.305203,-82.862416,195 Commercial Boulevard,Lakeshore,,,OSM,40
Ciao Cafe,cafe,42.3083386,-82.9654319,,Windsor,,,OSM,40
Tim Hortons,cafe,42.3045051,-82.9808322,13300 Tecumseh Road East,Tecumseh,,,OSM,40
