company,domain,amount_raised,stage,headline,tc_link,scraped_at
Payment,techcrunch.com,$3.2B,,"Payments startup Flutterwave hits $3.2B valuation, backed by Ripple",https://techcrunch.com/2026/06/16/payments-startup-flutterwave-hits-3-2b-valuation-backed-by-ripple/,2026-06-16T20:57:42.593Z
Probably,techcrunch.com,$9M,,Probably raises $9M to build a more reliable kind of AI,https://techcrunch.com/2026/06/16/probably-raises-9m-to-build-a-more-reliable-kind-of-ai/,2026-06-16T20:57:42.593Z
Techcrunch,techcrunch.com,$22M,,"This startup's super metals could soon be in military drones, luxury watches, and chef’s knives",https://techcrunch.com/2026/06/16/this-startups-super-metals-could-soon-be-in-military-drones-luxury-watches-and-chefs-knives/,2026-06-16T20:57:42.593Z
Malaysia,techcrunch.com,$62.5M,,"Malaysia's AI agent-powered messaging app Respond.io raises $62.5M, eyes acquisitions",https://techcrunch.com/2026/06/15/malaysias-respond-io-raises-62-5m-eyes-acquisitions-in-north-america-and-europe/,2026-06-16T20:57:42.593Z
Sarvam,techcrunch.com,$234M,,Sarvam becomes India's newest AI unicorn with $234 million funding round led by HCLTech,https://techcrunch.com/2026/06/15/sarvam-becomes-indias-newest-ai-unicorn-with-234-million-funding-round-led-by-hcltech/,2026-06-16T20:57:42.593Z
Orbio,techcrunch.com,$21M,Series A,Orbio raises $21 million to automate hiring and onboarding for frontline workers,https://techcrunch.com/2026/06/14/orbio-raises-21-million-to-automate-hiring-and-onboarding-for-frontline-workers/,2026-06-16T20:57:42.593Z
As AI,techcrunch.com,,,"As AI companies race to go public, who else is along for the ride?",https://techcrunch.com/2026/06/14/as-ai-companies-race-to-go-public-who-else-is-along-for-the-ride/,2026-06-16T20:57:42.593Z
It,techcrunch.com,,,"It’s hot IPO summer, and the MANGOS are ripe",https://techcrunch.com/podcast/its-hot-ipo-summer-and-the-mangos-are-ripe/,2026-06-16T20:57:42.593Z
Theker,techcrunch.com,$85M,,Theker just raised $85M to build the factory robot that doesn't specialize in anything,https://techcrunch.com/2026/06/11/theker-just-raised-85m-to-build-the-factory-robot-that-doesnt-specialize-in-anything/,2026-06-16T20:57:42.593Z
Quantum Space,techcrunch.com,$1.2B,,Quantum Space's military SPAC is trying to catch SpaceX's IPO wave,https://techcrunch.com/2026/06/11/quantum-spaces-military-spac-is-trying-to-catch-spacexs-ipo-wave/,2026-06-16T20:57:42.593Z
